2025-08-22 11:27:04,213 | INFO |   写出: xyz_output\feet\065_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,229 | INFO |   写出: xyz_output\feet\066_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,249 | INFO |   写出: xyz_output\feet\066_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,277 | INFO |   写出: xyz_output\feet\067_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,295 | INFO |   写出: xyz_output\feet\067_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,312 | INFO |   写出: xyz_output\feet\068_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,329 | INFO |   写出: xyz_output\feet\068_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,346 | INFO |   写出: xyz_output\feet\069_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,364 | INFO |   写出: xyz_output\feet\069_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,383 | INFO |   写出: xyz_output\feet\070_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,401 | INFO |   写出: xyz_output\feet\070_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,422 | INFO |   写出: xyz_output\feet\071_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,445 | INFO |   写出: xyz_output\feet\071_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,465 | INFO |   写出: xyz_output\feet\072_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,485 | INFO |   写出: xyz_output\feet\072_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,507 | INFO |   写出: xyz_output\feet\073_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,525 | INFO |   写出: xyz_output\feet\073_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,545 | INFO |   写出: xyz_output\feet\074_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,562 | INFO |   写出: xyz_output\feet\074_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,580 | INFO |   写出: xyz_output\feet\075_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,596 | INFO |   写出: xyz_output\feet\075_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,613 | INFO |   写出: xyz_output\feet\076_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,631 | INFO |   写出: xyz_output\feet\076_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,648 | INFO |   写出: xyz_output\feet\077_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,667 | INFO |   写出: xyz_output\feet\077_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,686 | INFO |   写出: xyz_output\feet\078_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,704 | INFO |   写出: xyz_output\feet\078_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,720 | INFO |   写出: xyz_output\feet\079_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,738 | INFO |   写出: xyz_output\feet\079_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,758 | INFO |   写出: xyz_output\feet\080_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,781 | INFO |   写出: xyz_output\feet\080_foot_R.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,799 | INFO |   写出: xyz_output\feet\081_foot_L.xyz | 点数=4096 | 含法向量
2025-08-22 11:27:04,820 | INFO |   写出: xyz_output\feet\081_foot_R.xyz | 点数=4096 | 含法向量
